nama_sekolah,alamat,kecamatan,kondisi_lingkungan
SDN Kampung Tengah 03 Pg.,Jl. Rantai Perak RT004/RW05,Kramat Jati,Padat/Kumuh
SDN Kampung Tengah 08 Pg.,Jl. Pasar Induk,Kramat Jati,Padat/Kumuh
SDN Kampung Tengah 11 Pg.,Jl. Trikora IV,Kramat Jati,Padat/Kumuh
SDN Kapuk 03 Pg.,Jl. Kapuk Raya No. 48A,Cengkareng,Padat/Kumuh
SDN Kapuk 14 Pg.,Jl. Kapuk Raya Gg. Mawar,Cengkareng,Padat/Kumuh
SDN Kapuk 15 Pg.,Jl. Kapuk AMD,Cengkareng,Padat/Kumuh
SDN Kapuk 16 Pg.,Jl. Kapuk AMD,Cengkareng,Padat/Kumuh
SDN Karang Anyar 01 Pg.,"Jl. B III No. 11, Karang Anyar",Sawah Besar,Padat/Kumuh
SDN Karang Anyar 02 Pt.,"Pasar, Jl. B III, Karang Anyar",Sawah Besar,Padat/Kumuh
SDN Karang Anyar 04 Pt.,Jl. Karang Anyar IX No. 17,Sawah Besar,Padat/Kumuh
SDN Karang Anyar 05 Pg.,"Pasar, Jl. B III, Karang Anyar",Sawah Besar,Padat/Kumuh
SDN Karang Anyar 06 Pt.,"Jl. B III No. 11, Karang Anyar",Sawah Besar,Padat/Kumuh
SDN Karang Anyar 08 Pg.,"Pasar, Jl. B III, Karang Anyar",Sawah Besar,Padat/Kumuh
SDN Karet 04 Pg.,Jl. Karet Belakang Raya,Setia Budi,Padat/Kumuh
SDN Karet 06 Pg.,Jl. Karbela Raya No. 1,Setia Budi,Padat/Kumuh
SDN Karet Tengsin 09 Pg.,Jl. Karet Pasar Baru Barat VII,Tanah Abang,Padat/Kumuh
SDN Karet Tengsin 13 Pg.,Jl. Karet Pasar Baru Barat I,Tanah Abang,Padat/Kumuh
SDN Karet Tengsin 15 Pg.,Jl. Karet Pasar Baru Barat IV,Tanah Abang,Padat/Kumuh
SDN Kartini 02 Pt.,Jl. Gotong Royong Gg. E. Kel. Kartini,Sawah Besar,Padat/Kumuh
SDN Kayumanis 01 Pg.,Jl. Kayumanis IV No. 20,Matraman,Padat/Kumuh
SDN Kayumanis 02 Pt.,Jl. Kayumanis IV Baru No. 20,Matraman,Padat/Kumuh
SDN Kayumanis 03 Pg.,Jl. Kayumanis IV Baru No. 20,Matraman,Padat/Kumuh
SDN Kayumanis 04 Pt.,Jl. Kayumanis IV No. 20,Matraman,Padat/Kumuh
SDN Keb. Lama Selatan 02 Pt.,Jl. Ciputat Raya,Kebayoran Lama,Padat/Kumuh
SDN Keb. Lama Selatan 03 Pg.,Jl. Ciputat Raya,Kebayoran Lama,Padat/Kumuh
SDN Keb. Lama Selatan 09 Pg.,Jl. Moh. Ismail No. 3,Kebayoran Lama,Padat/Kumuh
SDN Keb. Lama Selatan 10 Pt.,Jl. Moh. Ismail,Kebayoran Lama,Padat/Kumuh
SDN Keb. Lama Selatan 16 Pg.,Jl. Bungur Kampung Dukuh,Kebayoran Lama,Padat/Kumuh
SDN Kebon Bawang 04 Pt.,Jl. Kebon Bawang XIII,Tanjung Priok,Padat/Kumuh
SDN Kebon Jeruk 05 Pg.,Jl. Salman,Kebon Jeruk,Padat/Kumuh
SDN Kebon Kacang 01 Pg.,Jl. Kb. Kacang Raya No. 48,Tanah Abang,Padat/Kumuh
SDN Kebon Kacang 02 Pt.,Jl. Kb. Kacang Raya No. 48,Tanah Abang,Padat/Kumuh
SDN Kebon Kacang 03 Pg.,Jl. Kb. Kacang Raya No. 48,Tanah Abang,Padat/Kumuh
SDN Kebon Kosong 02 Pg.,Jl. Dakota V RT011/RW09,Kemayoran,Padat/Kumuh
SDN Kebon Kosong 03 Pg.,Jl. Dakota IV,Kemayoran,Padat/Kumuh
SDN Kebon Kosong 04 Pg.,Jl. Dakota V,Kemayoran,Padat/Kumuh
