nama_sekolah,alamat,akreditasi
SDN Dukuh 05 Pg.,Jl. Dukuh V RT008/RW04,A
SDN Dukuh 09 Pg.,Komp. BHP RT005/RW06,A
SDN Duren Sawit 01 Pg.,Jl. Kelurahan I,A
SDN Duren Sawit 02 Pg.,Jl. Lingkar Timur,A
SDN Duren Sawit 03 Pg.,Jl. Kelurahan I,A
SDN Duren Sawit 06 Pg.,Jl. Bulu Perindu Raya No. 1,A
SDN Duren Sawit 07 Pg.,Jl. Kav. Agraria,A
SDN Duren Sawit 08 Pg.,Jl. Inspeksi Saluran No. 39A,A
SDN Duren Sawit 13 Pg.,Jl. Lapangan Statistik,A
SDN Duren Sawit 17 Pg.,Jl. Masjid Al Fallah,A
SDN Duren Sawit 18 Pg.,Jl. Lingkar Duren Sawit Timur,A
SDN Duren Tiga 01 Pg.,Jl. Raya Pasar Minggu No. 100,A
SDN Duren Tiga 05 Pg.,"PLN, Jl. Guru Alip",A
SDN Duren Tiga 09 Pg.,Jl. TMT Kalibata,A
SDN Duren Tiga 13 Pg.,Jl. K. H. Ismail No. 121,A
SDN Duri Kepa 01 Pg.,Jl. Raya Duri Kepa,A
SDN Duri Kepa 04 Pt.,Jl. Mangga Raya RT02/RW03,A
SDN Duri Kepa 05 Pg.,Jl. Mangga XIV RT06/RW04,A
SDN Duri Kepa 06 Pg.,Jl. Mangga XIV,A
SDN Duri Kepa 07 Pg.,Jl. Ratu Alamanda,A
SDN Duri Kepa 08 Pg.,Jl. Ratu Alamanda,A
SDN Duri Kepa 10 Pg.,Jl. Raya Duri Kepa RT01/RW02,A
SDN Duri Kepa 11 Pg.,Jl. Raya Duri Kepa,A
SDN Duri Kepa 16 Pg.,Komp. Green Ville Maesionet RT01/RW09,A
SDN Duri Kosambi 01 Pg.,Jl. KH. Abd. Hamid RT03/RW03,A
SDN Duri Kosambi 02 Pg.,Jl. Raya Duri Kosambi No.21,A
SDN Duri Kosambi 05 Pt.,Jl. Raya Duri Kosambi,A
SDN Duri Kosambi 06 Pg.,Jl. Pondok Randu Raya,A
SDN Duri Kosambi 09 Pg.,Jl. Duri Kosambi Raya Komp. Interkota No. 1,A
SDN Duri Kosambi 10 Pg.,Jl. Duri Kosambi Raya Komp. Interkota No. 1,A
SDN Duri Pulo 02 Pg.,Jl. Setiakawan III No. 25,A
SDN Duri Pulo 03 Pg.,Jl. Setiakawan III No. 25,A
SDN Duri Pulo 07 Pg.,Jl. KH. Zainul Arifin No. 71,A
SDN Duri Pulo 10 Pg.,Jl. Setiakawan III No. 25,A
SDN Duri Utara 01 Pg.,Jl. Duri Utara I No. 1,A
SDN Duri Utara 02 Pt.,Jl. Duri Utara I No. 1,A
SDN Duri Utara 05 Pg.,Jl. Duri Utara I No. 1,A
SDN Galur 01 Pg.,Jl. Kampung Rawa Tengah,A
SDN Galur 03 Pg.,Jl. Kampung Rawa Tengah,A
SDN Gandaria Selatan 02 Pt.,Jl. Teladan No. 3,A
SDN Gandaria Selatan 03 Pg.,Jl. Madrasah No. 45,A
SDN Gandaria Selatan 04 Pg.,"Jl. Madrasah No. 45, Gandaria Selatan",A
SDN Gandaria Utara 01 Pg.,Jl. Gotong Royong II,A
SDN Gandaria Utara 07 Pg.,Jl. Hidup Baru IV,A
SDN Gandaria Utara 08 Pg.,Jl. Kamboja No. 4,A
SDN Gedong 01 Pg.,Jl. Trikora No. 67,A
SDN Gedong 03 Pg.,Jl. Raya Condet,A
SDN Gedong 05 Pg.,Jl. Surilang No. 8,A
SDN Gedong 07 Pg.,Jl. Surilang No. 9,A
SDN Gedong 08 Pg.,Jl. Trikora No. 74,A
SDN Gedong 10 Pg.,Jl. Taiman Barat II No. 8,A
SDN Gedong 11 Pg.,Jl. H. Taiman Barat II,A
SDN Gedong 12 Pg.,Jl. Raya Condet,A
SDN Gondangdia 03 Pg.,Jl. Probolinggo No. 20,A
SDN Grogol 01 Pg.,Jl. Dr. Semeru Raya VII Blok J,A
SDN Grogol 05 Pg.,Jl. Dr. Semeru Raya No. 1,A
SDN Grogol 07 Pg.,Jl. Dr. Semeru Raya No. 1,A
SDN Grogol 09 Pg.,Jl. Dr. Semeru Raya No. 1,A
